nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
BRCR11;29971;0,5;0,0074;2800000000,0;104,82;-0,0345;0,64
BREV11;2;0,56;0,0059;106200000,0;109,85;0,0027;0,86
BRHT11B;0;0,0;0,0;147400000,0;80,01;0,0;0,0
BRIP11;1;0,0;0,0;168400000,0;982,71;0,0;1,23
BRLA11;20300;0,97;0,0073;285300000,0;159,29;0,021;0,94
BROL11;0;0,0;0,0;0,0;0,0;0,0;0,0
BTAL11;5161;0,83;0,0085;620300000,0;103,68;-0,0141;0,94
BTCR11;11350;1,28;0,013300000000000001;464600000,0;96,59;0,0058;1,0
BTGM11;0;0,0;0,0;0,0;0,0;0,0;0,0
BTLG11;32378;0,72;0,0070999999999999995;1500000000,0;98,82;-0,009000000000000001;1,04
BTRA11;7897;0,94;0,0092;347600000,0;103,32;0,0069;0,99
BTSG11;0;0,79;0,0;103300000,0;133,24;0,0;0,0
BTWR11;282;0,5;0,0040999999999999995;87900000,0;108,64;-0,019299999999999998;0,97
BVAR11;0;5,5;0,0;664000000,0;1061,41;0,0;0,0
BZLI11;44041;0,0;0,0;431100000,0;10,7;0,0068000000000000005;1,37
CACR11;1234;1,5;0,0139;156200000,0;103,15;0,006;1,03
CARE11;24473;0,0;0,0023;291700000,0;8,16;-0,0241;0,58
CBOP11;319;0,49;0,0077;126400000,0;89,31;0,06559999999999999;0,7
CCRF11;9;0,79;0,0126;159400000,0;101,38;0,0233;0,99
CEOC11;224;0,49;0,0078000000000000005;164000000,0;90,33;0,0181;0,69
CJCT11;1;0,0;0,0060999999999999995;186000000,0;64,82;0,1996;1,25
CNES11;16;0,09;0,0027;255300000,0;86,57;0,059800000000000006;0,4
CORM11;43;1,31;0,0088;94300000,0;92,71;-0,0208;0,98
CPFF11;8002;0,6;0,0085;421200000,0;77,28;-0,0031;0,9
CPTS11;73246;1,08;0,0115;2600000000,0;93,39;-0,0048;1,0
CRFF11;3;0,57;0,0087;60200000,0;87,24;-0,0154;0,75
CTXT11;97;0,09;0,0039000000000000003;118300000,0;40,76;-0,022000000000000002;0,52
CVBI11;17315;1,5;0,0148;1000000000,0;99,83;-0,0067;1,02
CXAG11;1781;0,75;0,0096;214300000,0;102,48;0,016200000000000003;0,75
CXCE11B;580;0,34;0,0089;111000000,0;64,83;-0,0424;0,6
CXCI11;251;0,75;0,008;201000000,0;97,68;0,008;0,8
CXCO11;2069;0,73;0,009399999999999999;376300000,0;95,89;0,0159;0,8
CXRI11;983;0,53;0,0083;134500000,0;85,36;-0,010700000000000001;0,74
CXTL11;1;0,48;0,0016;37100000,0;691,32;-0,059699999999999996;0,41
CYCR11;161;1,35;0,013600000000000001;61400000,0;96,12;0,005600000000000001;1,08
DEVA11;29303;1,4;0,0143;1400000000,0;97,25;-0,0118;1,01
DMAC11;2543;2,96;0,3632;778257,9;4,99;0,048499999999999995;2,61
DOMC11;42;0,0;0,0;271000000,0;110,9;0,0435;3,96
DOVL11B;44;0,0;0,0;81300000,0;1223,62;0,0;0,76
DRIT11B;4;0,33;0,0028000000000000004;58100000,0;125,45;0,060700000000000004;0,64
DVFF11;713;0,7;0,010700000000000001;101400000,0;92,13;-0,030899999999999997;0,77
EDFO11B;30;1,49;0,0073;45300000,0;191,85;-0,011399999999999999;1,06
EDGA11;1891;0,14;0,0070999999999999995;252400000,0;66,2;0,011200000000000002;0,29
EGYR11;4022;0,0;0,0;93500000,0;12,47;0,0;0,14
ELDO11B;0;0,52;0,0;1100000000,0;1342,97;0,0;0,0
EQIA11;3703;0,45;0,0;38600000,0;96,02;0,0;0,98
EQIN11;7984;1,33;0,0141;138400000,0;95,28;0,0165;0,98
EQIR11;107;1,04;0,011000000000000001;51200000,0;101,97;0,0127;0,98
ERCR11;1;2,96;0,0;167100000,0;70317,64;0,0;1,08
ERPA11;1;0,23;0,0024;57800000,0;115,4;0,0024;1,1
EURO11;565;1,7;0,008100000000000001;120000000,0;312,61;0,049699999999999994;0,75
EVBI11;6;0,75;0,0079;138300000,0;98,95;0,0436;1,0
FAED11;1142;1,48;0,0102;138800000,0;216,18;0,084;0,67
FAMB11B;23;9,16;0,005600000000000001;325300000,0;3104,43;-0,47509999999999997;0,27
FATN11;330;0,8;0,008100000000000001;99200000,0;100,72;0,058899999999999994;1,01
FCAS11;0;1,5;0,0;80700000,0;60,79;0,0;0,0
FCFL11;566;0,82;0,0068000000000000005;364000000,0;104,78;0,0388;1,14
FEXC11;8552;1,1;0,012;571700000,0;93,67;0,0155;0,96
FFCI11;14342;0,72;0,0042;373200000,0;171,97;-0,0033;1,06
FIGS11;2984;0,37;0,0072;283400000,0;99,45;-0,051500000000000004;0,51
FIIB11;971;3,3;0,0075;312900000,0;456,73;-0,0092;0,95
FIIP11B;990;1,28;0,008;185900000,0;200,48;-0,0208;0,76
FINF11;0;0,0;0,0;42900000,0;52,29;0,0;0,0
FISC11;200;0,22;0,0;259000000,0;152,33;0,0;1,08
FIVN11;1482;0,0;0,0;65700000,0;6,98;0,0;0,31
FLCR11;1644;1,02;0,016200000000000003;64000000,0;101,0;0,0046;0,97
FLMA11;936;0,83;0,006999999999999999;216700000,0;156,92;-0,0053;0,74
FLRP11;1;9,5;0,0073;112200000,0;1720,21;0,06509999999999999;0,74
FMOF11;257;0,03;0,0025;62400000,0;122,85;0,22399999999999998;0,51
FOFT11;5663;1,9;0,0154;125600000,0;104,98;0,1226;1,17
FPAB11;31;1,63;0,0073;307500000,0;410,01;0,011899999999999999;0,52
FPNG11;2;0,88;0,0;172600000,0;168,84;0,0;0,5
FVBI11;3042;30,0;0,18780000000000002;0,0;0,0;0,18780000000000002;inf
FVPQ11;154;0,7;0,0059;555300000,0;198,31;0,017;0,59
GALG11;13628;0,82;0,0086;587600000,0;102,22;0,0028000000000000004;0,93
GAME11;2940;0,14;0,0138;203500000,0;9,88;-0,0039000000000000003;1,01
GCFF11;1024;0,75;0,0103;30100000,0;88,89;-0,0313;0,81
GCRA11;1366;1,05;0,0148;71200000,0;98,59;0,0339;1,05
GCRI11;3835;1,0;0,0151;98400000,0;98,35;0,020099999999999996;1,01
GESE11B;300;13,66;0,0;86500000,0;1664,33;0,0;0,91
GGRC11;9731;0,9;0,008199999999999999;1000000000,0;130,53;0,0287;0,83
GLPL11;0;0,0;0,0;0,0;0,0;0,0;0,0
GRLV11;54618;0,17;0,0;6400000,0;5,97;0,0;24,38
GSFI11;8713;0,0;0,0003;997600000,0;13,27;0,0003;0,33
GTLG11;1;0,67;0,006999999999999999;686100000,0;95,65;0,006999999999999999;1,05
GTWR11;11316;0,74;0,0098;1200000000,0;98,59;-0,0623;0,73
HAAA11;1;0,54;0,005699999999999999;322800000,0;93,42;-0,0116;1,02
HABT11;18287;1,25;0,012;732600000,0;98,7;-0,0074;1,04
HBRH11;413;0,67;0,0085;313800000,0;113,19;-0,0044;0,75
HBTT11;3;16,58;0,015700000000000002;159700000,0;886,32;0,0191;1,19
HCHG11;531;0,88;0,0106;123600000,0;102,99;-0,056600000000000004;0,8
HCRI11;299;2,49;0,0088;51800000,0;259,05;-0,17350000000000002;0,98
HCST11;1;0,0;0,0;31000000,0;101,08;0,0;0,94
HCTR11;68871;1,75;0,0165;2600000000,0;119,76;-0,0974;0,94
HFOF11;18780;0,6;0,0079;1900000000,0;84,66;0,0203;0,86
HGBS11;5433;1,2;0,0067;2200000000,0;216,22;0,0006;0,83
HGCR11;18540;1,1;0,0104;1500000000,0;102,52;0,01;1,03
HGFF11;5060;0,62;0,008199999999999999;256500000,0;89,58;0,0553;0,81
HGIC11;3;0,99;0,009000000000000001;31200000,0;112,2;0,0233;0,99
HGLG11;29107;1,1;0,0067;3200000000,0;148,59;0,0111;1,11
HGPO11;4710;1,35;0,0052;470100000,0;268,19;0,01;0,96
HGRE11;13271;0,78;0,0060999999999999995;1900000000,0;164,64;0,0449;0,79
HGRS11;0;0,0;0,0;107900000,0;90,32;0,0;0,0
HGRU11;23532;0,82;0,0070999999999999995;2200000000,0;118,84;0,0395;0,99
HLOG11;1168;0,65;0,0070999999999999995;475900000,0;111,98;0,023799999999999998;0,77
HMOC11;115;23,8;0,10490000000000001;91200000,0;238,79;0,10490000000000001;0,95
HOSI11;124;0,36;0,0049;52600000,0;91,75;0,0325;0,75
HPDP11;93;0,45;0,0055000000000000005;275700000,0;94,78;0,0304;0,87
HRDF11;338;6,8;0,0;9700000,0;1,28;0,0;0,94
HREC11;110;1,0;0,0104;431600000,0;92,68;0,0046;1,04
